15,19.0,894.0,261.0
A06,C01,2944.0,1074.0
75,75.0,2417.0,911.0
5.0,53.0,3674.0,1044.0
138.0,126.0,2562.0,1031.0
73.0,44.0,3352.0,1237.0
653,653.0,1355.0,3348.0
76,21.0,1829.0,668.0
39,21.0,1544.0,438.0
8.0,8.0,0.0,18.0
43.0,123.0,806.0,297.0
30,59.0,886.0,265.0
126,127.0,424.0,156.0
115.0,115.0,0.0,53.0
507,57.0,5094.0,1106.0
607,639.0,3612.0,1167.0
88,117.0,3316.0,946.0
111.0,137.0,2809.0,771.0
64,19.0,2231.0,761.0
112,106.0,2572.0,801.0
63,21.0,1737.0,397.0
246,243.0,2511.0,1151.0
107,113.0,2118.0,533.0
54.0,51.0,1090.0,267.0
627,641.0,539.0,240.0
87,137.0,3467.0,1050.0
12.0,32.0,1830.0,1278.0
41,34.0,1833.0,568.0
142.0,148.0,1782.0,609.0
39.0,44.0,2058.0,556.0
41,20.0,1351.0,361.0
68.0,5.0,1618.0,1076.0
38.0,21.0,1290.0,379.0
111.0,96.0,2858.0,655.0
603,627.0,1641.0,578.0
133.0,142.0,1927.0,625.0
26.0,63.0,961.0,427.0
13,12.0,1233.0,1015.0
122,17.0,1582.0,442.0
601,625.0,1705.0,492.0
162,57.0,3097.0,892.0
A09,A18,1315.0,782.0
A26,B07,2683.0,775.0
38.0,117.0,2531.0,766.0
137.0,134.0,1104.0,1142.0
134,140.0,2375.0,658.0
48,34.0,2797.0,1220.0
104,86.0,1431.0,470.0
218,89.0,4445.0,1256.0
77,56.0,6248.0,1345.0
20.0,36.0,1688.0,688.0
127,23.0,3980.0,1587.0
57,57.0,22.0,72.0
103,77.0,3422.0,729.0
33.0,77.0,1954.0,608.0
123.0,123.0,12.0,37.0
17,16.0,700.0,229.0
63.0,64.0,575.0,191.0
75.0,64.0,3810.0,1305.0
95.0,72.0,3228.0,785.0
82,123.0,3542.0,1021.0
65,65.0,2.0,69.0
553,539.0,1149.0,271.0
231,239.0,3491.0,630.0
82,78.0,673.0,622.0
517.0,557.0,1526.0,333.0
134.0,113.0,2003.0,604.0
14,126.0,3293.0,1127.0
525,519.0,540.0,176.0
C02,A27,1705.0,619.0
49,11.0,941.0,249.0
26.0,12.0,1892.0,1594.0
76.0,45.0,1519.0,746.0
116.0,133.0,1703.0,805.0
59.0,53.0,1531.0,442.0
729,90.0,5615.0,1218.0
126.0,137.0,2125.0,542.0
130,202.0,3036.0,1408.0
116,75.0,2084.0,658.0
29,30.0,596.0,249.0
26.0,75.0,2105.0,500.0
761,753.0,2570.0,654.0
33.0,20.0,1429.0,423.0
21,116.0,3146.0,756.0
83,73.0,1512.0,18824.0
126.0,122.0,1016.0,319.0
8.0,8.0,0.0,28.0
16,161.0,1364.0,412.0
232,138.0,3349.0,815.0
19,116.0,2605.0,877.0
49,20.0,1327.0,391.0
126,120.0,867.0,534.0
99,207.0,1700.0,413.0
A03,A22,1760.0,512.0
161.0,44.0,3461.0,1450.0
43,43.0,0.0,10.0
150.0,116.0,1911.0,895.0
30,73.0,2209.0,520.0
135.0,120.0,1954.0,538.0
101,98.0,691.0,286.0
21.0,36.0,1409.0,406.0
18.0,133.0,3865.0,1214.0
149.0,8.0,2427.0,594.0
C02,A34,1002.0,305.0
94,77.0,2889.0,904.0
65,49.0,1621.0,590.0
115.0,115.0,8.0,96.0
144.0,31.0,6731.0,1895.0
22.0,31.0,1211.0,510.0
118.0,113.0,1664.0,638.0
46,36.0,1968.0,416.0
715,533.0,5848.0,1600.0
126,134.0,1470.0,315.0
116.0,150.0,1899.0,442.0
29,29.0,0.0,45.0
80,111.0,1380.0,411.0
75.0,39.0,592.0,159.0
41.0,41.0,2.0,66.0
75.0,75.0,38.0,382.0
149,20.0,1504.0,505.0
110,46.0,2292.0,738.0
48.0,12.0,2127.0,706.0
651.0,555.0,4006.0,1015.0
79,36.0,1870.0,564.0
533.0,527.0,887.0,288.0
113.0,89.0,2401.0,653.0
118.0,114.0,1353.0,649.0
12.0,161.0,667.0,212.0
B02,B02,1343.0,534.0
643.0,643.0,10.0,47.0
111,114.0,614.0,344.0
6,53.0,2940.0,962.0
76,105.0,2958.0,911.0
37,44.0,3100.0,987.0
547,541.0,701.0,168.0
119.0,127.0,894.0,295.0
67.0,65.0,990.0,809.0
49,25.0,1219.0,311.0
11.0,25.0,1102.0,350.0
54.0,143.0,461.0,256.0
126,122.0,1194.0,284.0
71.0,31.0,902.0,253.0
137,133.0,793.0,384.0
31,21.0,1143.0,358.0
769,715.0,1684.0,585.0
53.0,21.0,3990.0,979.0
23.0,25.0,269.0,120.0
76,86.0,1958.0,949.0
24,77.0,2278.0,692.0
120.0,26.0,4022.0,1037.0
637.0,637.0,0.0,35.0
67,66.0,2260.0,1559.0
36,60.0,2165.0,657.0
105,96.0,780.0,185.0
